S265Swp
IMP=ohm,,MAVE=0
MEMO=20220829_101
DATE=2022/09/06 14:40:33
FREQ , SPL, Imp, Phs, 2nd, 3rd
   19.95, 38.270, 20.516,, 18.930, 18.180
   20.24, 39.700, 20.540,, 17.390, 17.630
   20.54, 41.390, 20.563,, 15.570, 17.020
   20.83, 42.550, 20.563,  7.800, 14.300, 16.530
   21.13, 42.520, 20.587,  3.800, 14.340, 16.270
   21.44, 42.300, 20.587,  0.000, 15.130, 15.980
   21.75, 42.950, 20.587,  0.000, 15.930, 15.400
   22.07, 43.990, 20.611,  0.000, 16.750, 14.770
   22.39, 44.570, 20.611,  0.000, 17.780, 14.420
   22.71, 44.140, 20.611,  0.000, 18.950, 14.680
   23.04, 43.370, 20.634,  0.200, 19.150, 15.770
   23.37, 43.050, 20.658,  0.000, 17.620, 17.690
   23.71, 43.330, 20.658,  0.000, 16.060, 19.610
   24.06, 44.120, 20.682,  0.000, 16.130, 20.470
   24.41, 45.090, 20.682,  0.000, 16.980, 19.170
   24.76, 45.850, 20.682,  0.800, 17.400, 15.430
   25.12, 46.030, 20.706,  1.800, 17.370, 12.430
   25.48, 45.510, 20.730, 15.400, 17.150, 13.060
   25.85, 45.090, 20.753, 29.000, 17.070, 15.610
   26.23, 45.510, 20.777, 27.800, 17.200, 17.810
   26.61, 46.330, 20.777, 26.600, 16.580, 19.710
   26.99, 46.940, 20.777, 31.600, 14.690, 21.470
   27.38, 47.110, 20.801, 36.600, 13.730, 21.320
   27.78, 46.950, 20.825, 40.600, 15.500, 18.190
   28.18, 47.200, 20.849, 44.800, 18.090, 15.190
   28.59, 47.510, 20.873, 48.200, 20.990, 14.440
   29.01, 47.470, 20.873, 51.000, 23.560, 16.470
   29.43, 47.670, 20.897, 53.800, 22.260, 17.580
   29.85, 48.580, 20.945, 58.200, 16.760, 15.350
   30.29, 49.390, 20.970, 62.800, 17.890, 14.690
   30.73, 49.430, 20.970, 55.800, 22.210, 15.300
   31.17, 48.580, 20.994, 64.800, 23.530, 15.420
   31.62, 48.400, 21.018, 74.000, 23.010, 15.030
   32.08, 49.920, 21.066, 73.000, 23.370, 14.790
   32.55, 50.890, 21.091, 70.800, 25.010, 15.920
   33.02, 50.760, 21.115, 68.800, 23.190, 18.570
   33.50, 50.020, 21.139, 84.200, 16.660, 22.010
   33.98, 50.090, 21.188, 79.200, 17.830, 23.810
   34.47, 50.830, 21.212, 74.400, 22.920, 22.890
   34.97, 51.510, 21.237, 84.400, 25.070, 19.770
   35.48, 51.370, 21.310, 84.200, 25.730, 18.550
   36.00, 51.440, 21.335, 84.200, 26.540, 19.580
   36.52, 52.130, 21.359, 89.800, 26.610, 19.460
   37.05, 52.960, 21.409, 91.800, 24.910, 16.970
   37.58, 52.380, 21.458, 95.000, 22.620, 18.740
   38.13, 52.830, 21.483, 98.400, 22.600, 21.060
   38.68, 53.480, 21.508, 96.000, 24.620, 20.790
   39.24, 53.360, 21.582, 97.000, 27.370, 17.880
   39.81, 54.200, 21.632,100.200, 29.010, 18.370
   40.39, 54.250, 21.707,103.600, 29.180, 21.300
   40.97, 54.320, 21.757,106.400, 29.290, 22.310
   41.57, 54.650, 21.782,109.000, 27.370, 21.480
   42.17, 54.990, 21.857,110.400, 24.130, 20.380
   42.78, 55.130, 21.907,110.000, 28.300, 20.670
