S265Swp
IMP=ohm,,MAVE=0
MEMO=20220829_103
DATE=2022/09/06 14:43:47
FREQ , SPL, Imp, Phs, 2nd, 3rd
   19.95, 40.700, 20.469,, 22.840, 16.360
   20.24, 41.280, 20.492,, 21.980, 13.720
   20.54, 42.150, 20.516,, 21.950, 10.770
   20.83, 42.430, 20.516,  0.000, 20.250,  8.430
   21.13, 41.410, 20.516,  0.200, 15.030,  7.580
   21.44, 40.160, 20.540,  0.400, 10.330,  7.810
   21.75, 39.840, 20.540,  0.600, 10.310,  8.400
   22.07, 40.020, 20.563,  0.800, 13.690,  8.610
   22.39, 39.920, 20.563,  1.200, 17.880,  7.740
   22.71, 39.180, 20.563,  2.000, 20.550,  5.830
   23.04, 39.300, 20.587,  3.000, 20.580,  6.020
   23.37, 41.470, 20.611,  1.400, 17.840, 10.520
   23.71, 43.900, 20.611,  0.000, 14.870, 14.640
   24.06, 44.740, 20.611,  0.800, 14.130, 13.960
   24.41, 44.850, 20.634,  1.600, 15.220, 11.990
   24.76, 45.390, 20.634,  2.200, 17.090, 12.850
   25.12, 45.870, 20.658,  2.800, 19.090, 15.110
   25.48, 45.700, 20.682, 20.800, 20.710, 16.490
   25.85, 45.450, 20.682, 38.800, 21.610, 16.790
   26.23, 45.710, 20.682, 33.800, 21.270, 16.470
   26.61, 46.030, 20.706, 29.000, 18.420, 16.500
   26.99, 46.000, 20.730, 36.600, 13.300, 17.490
   27.38, 46.300, 20.753, 44.400, 13.020, 17.940
   27.78, 47.420, 20.777, 41.000, 20.930, 16.570
   28.18, 48.260, 20.801, 37.800, 23.730, 14.800
   28.59, 48.520, 20.825, 56.600, 23.230, 14.000
   29.01, 48.300, 20.825, 55.000, 24.260, 14.840
   29.43, 48.090, 20.849, 53.600, 23.200, 16.120
   29.85, 48.240, 20.897, 57.600, 18.230, 16.390
   30.29, 48.300, 20.921, 61.600, 19.080, 15.270
   30.73, 48.470, 20.921, 51.400, 22.830, 13.410
   31.17, 49.040, 20.945, 58.000, 24.030, 12.000
   31.62, 49.760, 20.970, 64.800, 23.760, 13.660
   32.08, 50.190, 21.018, 71.000, 24.250, 19.060
   32.55, 50.070, 21.042, 74.000, 25.310, 21.710
   33.02, 50.250, 21.066, 77.200, 23.770, 21.260
   33.50, 51.070, 21.091, 79.600, 19.130, 19.290
   33.98, 50.670, 21.115, 81.600, 20.080, 16.690
   34.47, 50.450, 21.139, 83.800, 22.910, 14.820
   34.97, 51.510, 21.188, 82.400, 22.750, 14.700
   35.48, 51.260, 21.261, 84.600, 23.920, 15.290
   36.00, 51.310, 21.261, 86.800, 25.770, 15.520
   36.52, 52.350, 21.286, 78.800, 26.450, 16.750
   37.05, 53.490, 21.359, 90.800, 25.500, 19.510
   37.58, 52.210, 21.409, 95.400, 25.790, 20.260
   38.13, 52.550, 21.433,100.200, 26.180, 20.110
   38.68, 53.580, 21.483, 86.600, 26.690, 19.580
   39.24, 53.450, 21.532,104.200, 27.950, 19.280
   39.81, 53.650, 21.582,100.200, 29.640, 21.200
   40.39, 54.400, 21.657, 96.200, 29.990, 23.010
   40.97, 54.370, 21.682,105.600, 30.170, 23.200
   41.57, 54.320, 21.732,109.000, 28.720, 22.430
   42.17, 54.910, 21.807,109.800, 25.670, 21.320
   42.78, 55.020, 21.857,108.600, 27.430, 20.170
   43.40, 55.810, 21.933,114.200, 30.570, 21.330
   44.03, 55.280, 22.008,115.400, 32.120, 20.370
   44.67, 56.350, 22.085,116.800, 31.870, 25.640
   45.32, 56.320, 22.161,115.400, 30.830, 22.750
   45.97, 56.840, 22.238,120.400, 30.130, 23.510
