[HEADER]
VERSION=S255W01
ITEMNAME=SPL
COMMENT=
[DATA]
MODEL=PP
MEMO=B02_Sidewall_study
DATAFILE=C:\FOS4CHDAT\VDDS\35mm Sidewall\PP\20220817-001.M10
BEGIN_RECORD=1
END_RECORD=10
FREQ     ,SPL_1       ,SPL_2       ,SPL_3       ,SPL_4       ,SPL_5       ,SPL_6       ,SPL_7       ,SPL_8       ,SPL_9       ,SPL_10      
    43.40,   84.57,   84.38,   84.44,   84.46,   84.38,   84.65,   84.78,   84.10,   84.10,   84.19
    44.03,   84.67,   84.25,   84.53,   85.05,   84.19,   84.90,   85.41,   84.13,   83.98,   84.38
    44.67,   85.02,   84.61,   84.76,   84.94,   84.64,   85.12,   85.06,   84.40,   84.52,   84.57
    45.32,   84.85,   84.44,   84.74,   85.10,   84.77,   85.34,   84.70,   84.67,   85.02,   84.76
    45.97,   85.13,   85.08,   85.08,   85.44,   84.92,   85.56,   84.33,   84.92,   85.49,   84.95
    46.64,   85.77,   85.26,   85.30,   85.59,   84.97,   85.76,   85.22,   85.11,   85.62,   85.24
    47.32,   85.58,   85.43,   85.31,   85.95,   85.34,   85.95,   86.02,   85.30,   85.75,   85.52
    48.00,   85.96,   85.71,   85.53,   86.04,   85.86,   86.14,   86.76,   85.48,   85.88,   85.78
    48.70,   85.98,   85.79,   85.65,   86.06,   85.63,   86.27,   86.47,   85.82,   86.07,   86.01
    49.40,   86.33,   86.05,   86.14,   86.38,   86.09,   86.40,   86.18,   86.14,   86.25,   86.24
    50.12,   86.39,   86.17,   86.03,   86.51,   86.12,   86.52,   85.87,   86.45,   86.44,   86.46
    50.85,   86.56,   86.26,   86.21,   86.69,   86.52,   86.82,   86.30,   86.58,   86.79,   86.54
    51.58,   86.91,   86.69,   86.72,   87.06,   86.63,   87.11,   86.70,   86.70,   87.14,   86.62
    52.33,   86.99,   86.74,   86.71,   86.97,   86.68,   87.39,   87.09,   86.83,   87.47,   86.70
    53.09,   87.16,   86.99,   86.86,   87.31,   86.85,   87.40,   87.10,   86.99,   87.47,   86.92
    53.86,   87.20,   87.09,   86.92,   87.28,   87.21,   87.40,   87.10,   87.14,   87.47,   87.14
    54.64,   87.49,   87.16,   87.30,   87.60,   87.23,   87.41,   87.10,   87.29,   87.47,   87.35
    55.43,   87.78,   87.54,   87.40,   87.73,   87.43,   87.66,   87.29,   87.47,   87.76,   87.41
    56.23,   87.77,   87.62,   87.37,   87.84,   87.75,   87.90,   87.48,   87.64,   88.05,   87.47
    57.05,   87.98,   87.78,   87.58,   88.02,   87.79,   88.14,   87.66,   87.82,   88.33,   87.53
    57.88,   88.04,   88.01,   87.79,   88.13,   88.05,   88.27,   87.86,   87.90,   88.40,   87.90
    58.72,   88.31,   88.20,   88.03,   88.37,   88.16,   88.41,   88.06,   87.99,   88.47,   88.26
    59.57,   88.42,   88.35,   88.10,   88.43,   88.19,   88.54,   88.25,   88.08,   88.53,   88.61
    60.43,   88.52,   88.53,   88.27,   88.67,   88.46,   88.70,   88.46,   88.20,   88.61,   88.65
