[HEADER]
VERSION=S255W01
ITEMNAME=SPL
COMMENT=
[DATA]
MODEL=PP
MEMO=B02_Sidewall_study
DATAFILE=C:\FOS4CHDAT\VDDS\35mm Sidewall\PP\20220817-001.M10
BEGIN_RECORD=1
END_RECORD=10
FREQ     ,SPL_1       ,SPL_2       ,SPL_3       ,SPL_4       ,SPL_5       ,SPL_6       ,SPL_7       ,SPL_8       ,SPL_9       ,SPL_10      
   530.88,   96.24,   96.34,   95.55,   96.62,   96.47,   96.19,   96.31,   95.62,   96.60,   96.49
   538.58,   96.31,   96.42,   95.63,   96.69,   96.55,   96.28,   96.40,   95.69,   96.69,   96.57
   546.39,   96.39,   96.50,   95.70,   96.77,   96.63,   96.36,   96.49,   95.78,   96.77,   96.66
   554.31,   96.47,   96.58,   95.78,   96.85,   96.70,   96.44,   96.57,   95.86,   96.83,   96.74
   562.34,   96.55,   96.65,   95.85,   96.93,   96.79,   96.54,   96.64,   95.93,   96.92,   96.81
   570.49,   96.63,   96.74,   95.93,   97.01,   96.87,   96.61,   96.71,   96.00,   97.01,   96.89
   578.76,   96.72,   96.82,   96.01,   97.09,   96.95,   96.67,   96.80,   96.09,   97.09,   96.98
   587.15,   96.80,   96.90,   96.09,   97.18,   97.04,   96.74,   96.89,   96.16,   97.18,   97.08
   595.66,   96.89,   96.99,   96.18,   97.27,   97.13,   96.86,   96.99,   96.25,   97.26,   97.16
   604.30,   96.98,   97.08,   96.27,   97.36,   97.22,   96.94,   97.08,   96.33,   97.34,   97.24
   613.06,   97.07,   97.17,   96.36,   97.44,   97.31,   97.02,   97.13,   96.42,   97.42,   97.32
   621.94,   97.16,   97.26,   96.45,   97.54,   97.40,   97.12,   97.22,   96.52,   97.52,   97.41
   630.96,   97.25,   97.35,   96.54,   97.63,   97.49,   97.21,   97.33,   96.60,   97.63,   97.52
   640.10,   97.35,   97.44,   96.63,   97.72,   97.59,   97.29,   97.42,   96.69,   97.72,   97.62
   649.38,   97.44,   97.54,   96.72,   97.81,   97.69,   97.40,   97.51,   96.79,   97.81,   97.72
   658.79,   97.54,   97.63,   96.82,   97.91,   97.78,   97.49,   97.61,   96.87,   97.90,   97.81
   668.34,   97.64,   97.73,   96.91,   98.01,   97.88,   97.59,   97.71,   96.97,   97.97,   97.89
   678.03,   97.74,   97.83,   97.01,   98.10,   97.98,   97.69,   97.80,   97.07,   98.08,   97.99
   687.86,   97.84,   97.92,   97.11,   98.20,   98.08,   97.80,   97.89,   97.18,   98.20,   98.10
   697.83,   97.94,   98.03,   97.21,   98.30,   98.18,   97.89,   97.99,   97.27,   98.30,   98.20
   707.95,   98.04,   98.13,   97.32,   98.40,   98.28,   97.99,   98.10,   97.37,   98.40,   98.31
   718.21,   98.15,   98.23,   97.42,   98.51,   98.39,   98.10,   98.21,   97.48,   98.50,   98.42
   728.62,   98.26,   98.34,   97.53,   98.61,   98.50,   98.21,   98.32,   97.59,   98.60,   98.53
   739.18,   98.37,   98.44,   97.64,   98.72,   98.61,   98.32,   98.43,   97.69,   98.69,   98.62
   749.89,   98.48,   98.55,   97.75,   98.83,   98.71,   98.42,   98.52,   97.80,   98.80,   98.72
   760.76,   98.59,   98.66,   97.86,   98.93,   98.83,   98.53,   98.63,   97.92,   98.92,   98.84
   771.79,   98.70,   98.77,   97.97,   99.04,   98.94,   98.65,   98.75,   98.03,   99.04,   98.97
   782.98,   98.82,   98.89,   98.09,   99.16,   99.06,   98.77,   98.86,   98.14,   99.15,   99.08
   794.33,   98.94,   99.00,   98.20,   99.27,   99.17,   98.88,   98.97,   98.25,   99.25,   99.18
   805.84,   99.06,   99.12,   98.33,   99.39,   99.29,   98.99,   99.08,   98.38,   99.36,   99.30
   817.52,   99.18,   99.24,   98.45,   99.51,   99.42,   99.13,   99.21,   98.50,   99.48,   99.43
   829.37,   99.31,   99.37,   98.58,   99.64,   99.54,   99.26,   99.34,   98.64,   99.62,   99.56
   841.40,   99.44,   99.49,   98.71,   99.76,   99.67,   99.38,   99.46,   98.77,   99.74,   99.69
   853.59,   99.57,   99.62,   98.85,   99.89,   99.80,   99.50,   99.59,   98.89,   99.87,   99.82
   865.96,   99.70,   99.76,   98.98,  100.02,   99.94,   99.65,   99.72,   99.03,  100.00,   99.95
   878.52,   99.84,   99.89,   99.12,  100.15,  100.07,   99.79,   99.85,   99.18,  100.12,  100.09
   891.25,   99.98,  100.02,   99.26,  100.29,  100.21,   99.92,   99.99,   99.31,  100.27,  100.22
   904.17,  100.12,  100.16,   99.41,  100.42,  100.35,  100.06,  100.12,   99.45,  100.39,  100.36
   917.28,  100.27,  100.30,   99.55,  100.56,  100.49,  100.20,  100.26,   99.59,  100.53,  100.50
   930.57,  100.41,  100.45,   99.70,  100.71,  100.64,  100.35,  100.41,   99.75,  100.68,  100.65
   944.06,  100.56,  100.59,   99.86,  100.85,  100.79,  100.50,  100.56,   99.90,  100.82,  100.80
   957.75,  100.72,  100.74,  100.01,  101.00,  100.94,  100.65,  100.71,  100.05,  100.97,  100.95
   971.63,  100.87,  100.90,  100.17,  101.15,  101.10,  100.81,  100.86,  100.22,  101.12,  101.11
   985.71,  101.04,  101.06,  100.34,  101.31,  101.26,  100.97,  101.01,  100.38,  101.28,  101.26
  1000.00,  101.20,  101.22,  100.51,  101.47,  101.42,  101.12,  101.17,  100.54,  101.43,  101.42
  1014.50,  101.37,  101.38,  100.68,  101.63,  101.58,  101.30,  101.34,  100.72,  101.60,  101.60
  1029.20,  101.54,  101.54,  100.85,  101.79,  101.75,  101.47,  101.51,  100.89,  101.76,  101.77
  1044.12,  101.71,  101.72,  101.03,  101.96,  101.93,  101.64,  101.68,  101.07,  101.93,  101.94
  1059.25,  101.89,  101.89,  101.21,  102.13,  102.10,  101.81,  101.84,  101.24,  102.09,  102.10
  1074.61,  102.07,  102.06,  101.39,  102.31,  102.27,  101.99,  102.01,  101.42,  102.26,  102.27
  1090.18,  102.25,  102.24,  101.58,  102.48,  102.45,  102.18,  102.19,  101.62,  102.45,  102.46
  1105.99,  102.44,  102.42,  101.77,  102.66,  102.63,  102.36,  102.37,  101.81,  102.63,  102.64
  1122.02,  102.63,  102.60,  101.96,  102.84,  102.82,  102.55,  102.57,  102.00,  102.82,  102.84
  1138.28,  102.82,  102.79,  102.16,  103.03,  103.02,  102.75,  102.75,  102.20,  103.00,  103.02
  1154.78,  103.02,  102.98,  102.36,  103.22,  103.21,  102.94,  102.94,  102.39,  103.18,  103.21
  1171.52,  103.22,  103.18,  102.57,  103.41,  103.41,  103.13,  103.13,  102.59,  103.37,  103.40
  1188.50,  103.43,  103.38,  102.78,  103.61,  103.61,  103.34,  103.33,  102.80,  103.57,  103.60
  1205.73,  103.63,  103.58,  102.99,  103.81,  103.81,  103.53,  103.53,  103.01,  103.77,  103.80
  1223.21,  103.84,  103.78,  103.21,  104.01,  104.02,  103.74,  103.73,  103.23,  103.97,  104.01
  1240.94,  104.06,  103.99,  103.42,  104.22,  104.23,  103.97,  103.95,  103.45,  104.19,  104.23
  1258.93,  104.28,  104.20,  103.64,  104.43,  104.44,  104.16,  104.14,  103.65,  104.37,  104.42
  1277.17,  104.50,  104.42,  103.87,  104.64,  104.66,  104.38,  104.35,  103.87,  104.58,  104.63
  1295.69,  104.72,  104.63,  104.09,  104.86,  104.88,  104.61,  104.58,  104.10,  104.80,  104.86
  1314.47,  104.94,  104.85,  104.32,  105.08,  105.10,  104.83,  104.79,  104.32,  105.02,  105.08
  1333.52,  105.17,  105.07,  104.54,  105.30,  105.31,  105.05,  105.02,  104.56,  105.24,  105.31
  1352.85,  105.39,  105.30,  104.77,  105.53,  105.54,  105.26,  105.22,  104.76,  105.45,  105.51
  1372.46,  105.62,  105.53,  104.99,  105.76,  105.76,  105.50,  105.46,  104.99,  105.68,  105.74
  1392.36,  105.84,  105.76,  105.22,  105.99,  105.98,  105.74,  105.70,  105.23,  105.93,  105.98
  1412.54,  106.06,  105.99,  105.45,  106.22,  106.20,  105.96,  105.93,  105.45,  106.16,  106.20
  1433.01,  106.27,  106.21,  105.66,  106.43,  106.41,  106.17,  106.16,  105.67,  106.38,  106.42
  1453.78,  106.48,  106.42,  105.87,  106.63,  106.62,  106.37,  106.36,  105.86,  106.58,  106.61
  1474.86,  106.67,  106.60,  106.06,  106.82,  106.81,  106.58,  106.57,  106.07,  106.78,  106.82
  1496.24,  106.84,  106.77,  106.24,  106.99,  106.98,  106.75,  106.74,  106.25,  106.95,  106.99
  1517.92,  107.00,  106.94,  106.40,  107.15,  107.14,  106.93,  106.90,  106.43,  107.12,  107.17
  1539.93,  107.14,  107.08,  106.55,  107.29,  107.28,  107.07,  107.04,  106.57,  107.26,  107.31
  1562.25,  107.25,  107.20,  106.67,  107.41,  107.40,  107.21,  107.18,  106.71,  107.40,  107.44
  1584.89,  107.34,  107.30,  106.76,  107.50,  107.51,  107.31,  107.28,  106.81,  107.50,  107.55
  1607.87,  107.41,  107.37,  106.83,  107.58,  107.58,  107.38,  107.36,  106.88,  107.58,  107.63
  1631.17,  107.47,  107.43,  106.88,  107.63,  107.62,  107.43,  107.42,  106.93,  107.63,  107.68
  1654.82,  107.49,  107.46,  106.91,  107.65,  107.64,  107.47,  107.47,  106.97,  107.67,  107.72
  1678.80,  107.48,  107.47,  106.89,  107.65,  107.63,  107.46,  107.48,  106.97,  107.67,  107.71
  1703.14,  107.44,  107.43,  106.86,  107.60,  107.59,  107.44,  107.46,  106.95,  107.65,  107.69
  1727.83,  107.37,  107.36,  106.79,  107.53,  107.52,  107.37,  107.40,  106.89,  107.58,  107.62
  1752.87,  107.27,  107.18,  106.70,  107.42,  107.42,  107.28,  107.32,  106.80,  107.48,  107.53
  1778.28,  107.15,  106.94,  106.58,  107.29,  107.29,  107.17,  107.21,  106.70,  107.37,  107.42
  1804.06,  107.00,  106.77,  106.44,  107.13,  107.15,  107.02,  107.06,  106.56,  107.21,  107.27
  1830.21,  106.83,  106.59,  106.28,  106.95,  106.98,  106.86,  106.90,  106.41,  107.04,  107.12
  1856.74,  106.63,  106.39,  106.10,  106.75,  106.77,  106.67,  106.71,  106.23,  106.84,  106.92
  1883.65,  106.41,  106.19,  105.90,  106.52,  106.55,  106.47,  106.50,  106.04,  106.63,  106.71
  1910.95,  106.18,  105.94,  105.68,  106.28,  106.31,  106.23,  106.27,  105.82,  106.39,  106.47
  1938.65,  105.90,  105.67,  105.45,  106.02,  106.09,  105.99,  106.03,  105.61,  106.14,  106.23
  1966.75,  105.63,  105.43,  105.21,  105.75,  105.87,  105.74,  105.77,  105.38,  105.88,  106.01
  1995.26,  105.36,  105.17,  104.97,  105.48,  105.60,  105.47,  105.50,  105.14,  105.60,  105.78
  2024.18,  105.03,  104.90,  104.71,  105.20,  105.33,  105.19,  105.22,  104.88,  105.31,  105.48
  2053.53,  104.69,  104.62,  104.46,  104.91,  105.06,  104.91,  104.93,  104.62,  105.03,  105.22
  2083.29,  104.32,  104.33,  104.19,  104.62,  104.78,  104.64,  104.67,  104.34,  104.74,  104.94
  2113.49,  103.97,  104.03,  103.85,  104.34,  104.51,  104.35,  104.36,  103.98,  104.46,  104.64
  2144.12,  103.67,  103.77,  103.34,  104.07,  104.23,  104.06,  104.00,  103.53,  104.17,  104.30
  2175.20,  103.40,  103.50,  102.87,  103.79,  103.94,  103.79,  103.49,  103.00,  103.89,  103.88
  2206.73,  103.14,  103.22,  102.64,  103.51,  103.62,  103.51,  102.89,  102.62,  103.58,  103.47
  2238.72,  102.91,  102.97,  102.45,  103.22,  103.24,  103.22,  102.61,  102.50,  103.19,  103.17
  2271.17,  102.68,  102.71,  102.25,  102.92,  102.87,  102.94,  102.50,  102.39,  102.72,  102.90
  2304.09,  102.43,  102.44,  102.03,  102.62,  102.58,  102.64,  102.32,  102.21,  102.32,  102.61
  2337.49,  102.17,  102.17,  101.81,  102.12,  102.06,  102.25,  102.09,  101.97,  101.98,  102.36
  2371.37,  101.92,  101.87,  101.61,  101.49,  101.75,  101.67,  101.89,  101.76,  101.78,  102.16
  2405.75,  101.68,  101.61,  101.40,  101.27,  101.56,  101.16,  101.66,  101.55,  101.61,  101.91
  2440.62,  101.42,  101.38,  101.20,  101.15,  101.37,  101.15,  101.45,  101.35,  101.42,  101.70
  2476.00,  101.18,  101.16,  101.00,  101.02,  101.21,  101.08,  101.19,  101.13,  101.21,  101.45
  2511.89,  100.96,  100.94,  100.80,  100.86,  101.03,  100.94,  100.93,  100.94,  101.01,  101.23
  2548.30,  100.75,  100.72,  100.61,  100.68,  100.85,  100.74,  100.74,  100.75,  100.80,  101.03
  2585.23,  100.54,  100.52,  100.41,  100.49,  100.65,  100.58,  100.55,  100.56,  100.61,  100.82
  2622.71,  100.33,  100.32,  100.22,  100.30,  100.45,  100.38,  100.35,  100.36,  100.40,  100.61
  2660.73,  100.13,  100.12,  100.04,  100.11,  100.26,  100.19,  100.16,  100.18,  100.19,  100.41
  2699.29,   99.93,   99.93,   99.87,   99.92,  100.09,  100.00,   99.97,  100.00,  100.01,  100.22
  2738.42,   99.75,   99.76,   99.70,   99.72,   99.92,   99.82,   99.79,   99.81,   99.81,  100.03
  2778.11,   99.59,   99.58,   99.54,   99.54,   99.76,   99.65,   99.63,   99.66,   99.63,   99.87
  2818.38,   99.43,   99.41,   99.39,   99.37,   99.59,   99.49,   99.45,   99.53,   99.45,   99.71
  2859.24,   99.27,   99.23,   99.24,   99.21,   99.42,   99.34,   99.29,   99.37,   99.29,   99.54
  2900.68,   99.12,   99.05,   99.08,   99.05,   99.24,   99.18,   99.12,   99.21,   99.12,   99.36
  2942.73,   98.96,   98.88,   98.94,   98.90,   99.08,   99.04,   98.97,   99.07,   98.98,   99.21
  2985.38,   98.81,   98.72,   98.79,   98.74,   98.92,   98.87,   98.81,   98.92,   98.80,   99.03
  3028.66,   98.64,   98.57,   98.64,   98.58,   98.75,   98.71,   98.66,   98.77,   98.65,   98.87
  3072.56,   98.49,   98.42,   98.49,   98.42,   98.59,   98.54,   98.49,   98.62,   98.48,   98.69
  3117.09,   98.34,   98.27,   98.34,   98.27,   98.44,   98.40,   98.35,   98.49,   98.35,   98.56
  3162.28,   98.20,   98.12,   98.20,   98.12,   98.29,   98.25,   98.20,   98.33,   98.20,   98.40
  3208.12,   98.06,   97.97,   98.05,   97.97,   98.13,   98.11,   98.05,   98.19,   98.05,   98.25
  3254.62,   97.91,   97.81,   97.90,   97.82,   97.98,   97.97,   97.89,   98.05,   97.90,   98.10
  3301.79,   97.77,   97.66,   97.77,   97.67,   97.83,   97.82,   97.73,   97.91,   97.75,   97.94
  3349.65,   97.63,   97.50,   97.63,   97.53,   97.68,   97.67,   97.57,   97.76,   97.60,   97.78
  3398.21,   97.48,   97.35,   97.49,   97.40,   97.52,   97.54,   97.43,   97.63,   97.47,   97.63
  3447.47,   97.34,   97.21,   97.35,   97.26,   97.36,   97.39,   97.27,   97.49,   97.33,   97.47
  3497.44,   97.19,   97.07,   97.21,   97.14,   97.20,   97.24,   97.13,   97.35,   97.20,   97.31
  3548.13,   97.06,   96.94,   97.08,   97.02,   97.05,   97.09,   96.99,   97.21,   97.07,   97.15
  3599.56,   96.92,   96.83,   96.95,   96.91,   96.92,   96.98,   96.89,   97.09,   96.97,   97.02
  3651.74,   96.80,   96.72,   96.82,   96.81,   96.79,   96.84,   96.77,   96.96,   96.86,   96.89
  3704.67,   96.68,   96.62,   96.70,   96.71,   96.68,   96.72,   96.67,   96.83,   96.75,   96.76
  3758.37,   96.57,   96.53,   96.58,   96.62,   96.57,   96.62,   96.59,   96.72,   96.67,   96.67
  3812.85,   96.47,   96.44,   96.46,   96.53,   96.46,   96.51,   96.50,   96.60,   96.59,   96.58
  3868.12,   96.36,   96.35,   96.36,   96.45,   96.36,   96.41,   96.41,   96.49,   96.51,   96.48
  3924.19,   96.26,   96.26,   96.26,   96.37,   96.28,   96.32,   96.34,   96.40,   96.44,   96.41
  3981.07,   96.17,   96.19,   96.17,   96.30,   96.20,   96.23,   96.27,   96.30,   96.37,   96.33
  4038.78,   96.10,   96.17,   96.10,   96.26,   96.15,   96.16,   96.21,   96.23,   96.32,   96.27
  4097.32,   96.11,   96.24,   96.10,   96.30,   96.16,   96.12,   96.17,   96.17,   96.27,   96.21
  4156.71,   96.25,   96.38,   96.23,   96.44,   96.29,   96.19,   96.22,   96.19,   96.31,   96.23
  4216.97,   96.43,   96.52,   96.41,   96.59,   96.46,   96.31,   96.35,   96.29,   96.42,   96.32
  4278.09,   96.62,   96.68,   96.61,   96.76,   96.64,   96.47,   96.56,   96.52,   96.64,   96.53
  4340.10,   96.81,   96.86,   96.81,   96.98,   96.85,   96.64,   96.75,   96.75,   96.85,   96.75
  4403.01,   97.03,   97.05,   97.05,   97.25,   97.10,   96.86,   96.96,   96.98,   97.11,   97.00
  4466.84,   97.28,   97.27,   97.32,   97.55,   97.38,   97.11,   97.17,   97.22,   97.38,   97.28
  4531.58,   97.61,   97.56,   97.61,   97.86,   97.72,   97.42,   97.42,   97.52,   97.70,   97.63
  4597.27,   97.94,   97.84,   97.82,   98.06,   98.10,   97.73,   97.68,   97.77,   97.96,   97.99
  4663.91,   98.13,   98.01,   97.85,   98.11,   98.39,   97.98,   97.91,   97.91,   98.12,   98.32
  4731.51,   98.04,   97.97,   97.68,   98.04,   98.44,   98.03,   98.00,   97.85,   98.13,   98.51
  4800.10,   97.71,   97.73,   97.38,   97.81,   98.23,   97.83,   97.86,   97.62,   97.98,   98.43
  4869.68,   97.32,   97.40,   97.06,   97.50,   97.88,   97.44,   97.56,   97.30,   97.68,   98.12
  4940.26,   97.06,   97.08,   96.79,   97.20,   97.51,   97.10,   97.21,   96.99,   97.35,   97.74
  5011.87,   96.91,   96.82,   96.58,   96.97,   97.20,   96.92,   96.90,   96.74,   97.07,   97.39
  5084.52,   96.75,   96.65,   96.44,   96.83,   97.00,   96.77,   96.71,   96.59,   96.90,   97.15
  5158.22,   96.65,   96.55,   96.36,   96.75,   96.85,   96.66,   96.59,   96.48,   96.79,   97.00
  5232.99,   96.58,   96.50,   96.33,   96.71,   96.74,   96.56,   96.51,   96.42,   96.72,   96.89
  5308.84,   96.57,   96.46,   96.35,   96.71,   96.71,   96.54,   96.50,   96.43,   96.73,   96.87
  5385.80,   96.61,   96.39,   96.42,   96.76,   96.76,   96.54,   96.51,   96.47,   96.75,   96.86
  5463.87,   96.68,   96.35,   96.52,   96.83,   96.84,   96.60,   96.54,   96.54,   96.80,   96.90
  5543.07,   96.78,   96.43,   96.66,   96.92,   96.93,   96.70,   96.60,   96.68,   96.90,   97.00
  5623.41,   96.89,   96.50,   96.82,   97.02,   97.06,   96.80,   96.62,   96.81,   96.98,   97.10
  5704.93,   96.99,   96.54,   97.01,   97.11,   97.19,   96.90,   96.62,   96.98,   97.07,   97.22
  5787.62,   97.07,   96.56,   97.22,   97.18,   97.33,   97.01,   96.62,   97.18,   97.16,   97.37
  5871.51,   97.11,   96.58,   97.41,   97.24,   97.44,   97.04,   96.58,   97.35,   97.21,   97.47
  5956.62,   97.13,   96.61,   97.56,   97.27,   97.50,   97.07,   96.55,   97.50,   97.25,   97.55
  6042.96,   97.12,   96.64,   97.64,   97.27,   97.52,   97.08,   96.55,   97.58,   97.26,   97.57
  6130.56,   97.09,   96.67,   97.61,   97.23,   97.47,   97.07,   96.58,   97.56,   97.25,   97.54
  6219.42,   97.02,   96.66,   97.45,   97.10,   97.36,   97.00,   96.61,   97.44,   97.15,   97.43
  6309.57,   96.90,   96.54,   97.10,   96.84,   97.16,   96.90,   96.57,   97.20,   96.95,   97.26
  6401.03,   96.70,   96.24,   96.52,   96.40,   96.85,   96.75,   96.37,   96.79,   96.60,   97.01
  6493.82,   96.36,   95.69,   95.60,   95.73,   96.36,   96.47,   95.93,   96.09,   96.03,   96.58
  6587.95,   95.85,   94.85,   94.35,   94.82,   95.64,   96.04,   95.20,   94.99,   95.23,   95.96
  6683.44,   95.08,   93.72,   92.81,   93.70,   94.68,   95.40,   94.19,   93.57,   94.20,   95.12
  6780.32,   94.02,   92.40,   91.19,   92.45,   93.50,   94.47,   92.93,   91.96,   92.98,   94.03
  6878.60,   92.73,   91.10,   89.80,   91.20,   92.19,   93.28,   91.58,   90.45,   91.71,   92.77
  6978.31,   91.33,   90.03,   88.98,   90.20,   90.97,   91.89,   90.37,   89.36,   90.58,   91.49
  7079.46,   90.04,   89.42,   88.88,   89.59,   90.11,   90.53,   89.58,   89.02,   89.79,   90.47
  7182.08,   89.17,   89.32,   89.29,   89.40,   89.82,   89.46,   89.21,   89.30,   89.42,   89.91
  7286.18,   88.89,   89.57,   89.87,   89.60,   90.01,   88.96,   89.29,   89.86,   89.50,   89.91
  7391.80,   89.15,   90.02,   90.26,   90.02,   90.46,   89.08,   89.64,   90.32,   89.84,   90.28
  7498.94,   89.70,   90.60,   90.55,   90.51,   91.01,   89.55,   90.12,   90.62,   90.35,   90.85
  7607.64,   90.33,   91.12,   90.71,   90.99,   91.51,   90.12,   90.66,   90.79,   90.85,   91.37
  7717.92,   90.92,   91.53,   90.96,   91.46,   91.83,   90.75,   91.30,   90.97,   91.26,   91.71
  7829.79,   91.41,   92.00,   91.35,   91.89,   92.07,   91.26,   91.80,   91.27,   91.67,   91.85
  7943.28,   91.76,   92.37,   91.66,   92.27,   92.38,   91.63,   92.23,   91.66,   92.10,   92.13
  8058.42,   92.05,   92.63,   91.87,   92.60,   92.69,   91.92,   92.62,   91.89,   92.47,   92.47
  8175.23,   92.30,   92.87,   92.05,   92.84,   92.97,   92.19,   92.89,   92.03,   92.75,   92.73
  8293.73,   92.52,   93.07,   92.23,   93.02,   93.21,   92.44,   93.09,   92.20,   92.96,   92.96
  8413.95,   92.64,   93.18,   92.38,   93.13,   93.34,   92.62,   93.24,   92.38,   93.11,   93.22
  8535.91,   92.70,   93.18,   92.43,   93.15,   93.37,   92.69,   93.27,   92.47,   93.15,   93.42
  8659.64,   92.69,   93.13,   92.41,   93.10,   93.33,   92.70,   93.22,   92.48,   93.12,   93.45
  8785.17,   92.61,   93.03,   92.35,   92.99,   93.22,   92.66,   93.15,   92.47,   93.05,   93.33
  8912.51,   92.49,   92.88,   92.22,   92.84,   93.09,   92.52,   92.98,   92.36,   92.90,   93.21
  9041.70,   92.33,   92.71,   92.06,   92.66,   92.92,   92.39,   92.80,   92.21,   92.75,   93.12
  9172.76,   92.13,   92.50,   91.87,   92.46,   92.71,   92.20,   92.60,   91.99,   92.54,   92.91
  9305.72,   91.92,   92.26,   91.66,   92.23,   92.49,   91.98,   92.42,   91.79,   92.35,   92.68
  9440.61,   91.70,   92.02,   91.44,   92.00,   92.26,   91.75,   92.20,   91.55,   92.12,   92.43
  9577.45,   91.49,   91.79,   91.23,   91.79,   92.04,   91.54,   91.97,   91.35,   91.89,   92.20
  9716.28,   91.28,   91.56,   91.02,   91.57,   91.83,   91.34,   91.75,   91.10,   91.68,   91.97
  9857.12,   91.09,   91.35,   90.82,   91.37,   91.63,   91.14,   91.53,   90.99,   91.48,   91.78
 10000.00,   90.92,   91.15,   90.64,   91.18,   91.45,   90.97,   91.34,   90.92,   91.28,   91.59
 10144.95,   90.80,   91.05,   90.48,   91.05,   91.29,   90.81,   91.18,   90.76,   91.12,   91.43
 10292.01,   90.69,   91.02,   90.35,   90.94,   91.19,   90.70,   91.05,   90.62,   91.01,   91.29
 10441.19,   90.64,   90.95,   90.28,   90.88,   91.11,   90.63,   90.95,   90.53,   90.94,   91.19
 10592.54,   90.65,   90.92,   90.35,   90.89,   91.09,   90.61,   90.92,   90.52,   90.91,   91.15
 10746.08,   90.69,   90.95,   90.46,   90.96,   91.11,   90.64,   90.94,   90.52,   90.94,   91.15
 10901.84,   90.80,   91.04,   90.57,   91.08,   91.19,   90.72,   91.00,   90.59,   91.02,   91.20
 11059.87,   90.99,   91.21,   90.75,   91.28,   91.34,   90.86,   91.12,   90.72,   91.16,   91.31
 11220.18,   91.26,   91.45,   91.00,   91.54,   91.58,   91.09,   91.34,   90.94,   91.38,   91.52
 11382.82,   91.63,   91.79,   91.34,   91.89,   91.91,   91.41,   91.64,   91.25,   91.69,   91.79
 11547.82,   92.09,   92.26,   91.80,   92.35,   92.34,   91.83,   92.06,   91.65,   92.10,   92.18
 11715.21,   92.68,   92.83,   92.36,   92.92,   92.88,   92.36,   92.56,   92.15,   92.60,   92.67
 11885.02,   93.41,   93.54,   93.05,   93.63,   93.54,   93.02,   93.21,   92.78,   93.23,   93.30
 12057.30,   94.30,   94.39,   93.90,   94.49,   94.34,   93.83,   93.99,   93.56,   94.02,   94.05
 12232.07,   95.33,   95.40,   94.90,   95.51,   95.32,   94.80,   94.94,   94.49,   95.00,   94.97
 12409.38,   96.49,   96.53,   96.02,   96.66,   96.43,   95.90,   96.01,   95.55,   96.09,   96.01
 12589.25,   97.65,   97.66,   97.13,   97.82,   97.53,   97.08,   97.17,   96.69,   97.26,   97.11
 12771.74,   98.59,   98.57,   98.02,   98.76,   98.38,   98.21,   98.27,   97.76,   98.36,   98.12
 12956.87,   98.94,   98.92,   98.35,   99.11,   98.71,   98.93,   98.96,   98.41,   99.07,   98.75
 13144.68,   98.55,   98.58,   98.03,   98.77,   98.38,   99.01,   99.02,   98.44,   99.11,   98.78
 13335.21,   97.79,   97.81,   97.28,   97.98,   97.63,   98.44,   98.42,   97.83,   98.50,   98.15
 13528.51,   96.97,   96.96,   96.41,   97.00,   96.79,   97.58,   97.52,   96.93,   97.54,   97.27
 13724.61,   96.47,   96.54,   95.91,   96.36,   96.17,   96.84,   96.78,   96.17,   96.68,   96.52
 13923.55,   96.20,   96.39,   95.73,   96.16,   95.79,   96.39,   96.47,   95.81,   96.25,   96.03
 14125.38,   96.14,   96.42,   95.78,   96.22,   95.67,   96.24,   96.42,   95.75,   96.16,   95.76
 14330.13,   96.21,   96.53,   95.92,   96.42,   95.72,   96.26,   96.50,   95.86,   96.29,   95.73
 14537.84,   96.33,   96.61,   96.05,   96.59,   95.75,   96.37,   96.64,   96.03,   96.50,   95.79
 14748.57,   96.51,   96.66,   96.16,   96.73,   95.80,   96.53,   96.73,   96.14,   96.72,   95.88
 14962.36,   96.74,   96.72,   96.32,   96.74,   95.95,   96.72,   96.71,   96.23,   96.81,   96.00
 15179.24,   96.83,   96.70,   96.45,   96.62,   96.20,   96.91,   96.71,   96.43,   96.75,   96.22
 15399.27,   96.66,   96.57,   96.36,   96.49,   96.30,   96.88,   96.68,   96.53,   96.61,   96.46
 15622.48,   96.21,   96.16,   95.99,   96.29,   96.14,   96.53,   96.44,   96.30,   96.41,   96.44
 15848.93,   95.49,   95.47,   95.37,   95.91,   95.71,   95.96,   95.89,   95.79,   96.11,   96.16
 16078.67,   94.61,   94.66,   94.58,   95.22,   95.02,   95.12,   95.11,   95.04,   95.58,   95.55
 16311.73,   93.71,   93.87,   93.73,   94.44,   94.16,   94.20,   94.26,   94.17,   94.89,   94.71
 16548.17,   92.91,   93.14,   92.95,   93.75,   93.31,   93.38,   93.51,   93.35,   94.15,   93.84
 16788.04,   92.27,   92.55,   92.29,   93.20,   92.57,   92.64,   92.82,   92.60,   93.45,   93.01
 17031.39,   91.81,   92.15,   91.79,   92.83,   92.02,   92.12,   92.36,   92.03,   92.99,   92.37
 17278.26,   91.58,   91.95,   91.48,   92.64,   91.69,   91.80,   92.07,   91.65,   92.70,   91.95
 17528.71,   91.50,   91.92,   91.34,   92.57,   91.55,   91.52,   91.93,   91.43,   92.59,   91.73
 17782.79,   91.60,   92.03,   91.39,   92.65,   91.64,   91.47,   91.97,   91.39,   92.64,   91.73
 18040.56,   91.93,   92.28,   91.63,   92.87,   91.95,   91.72,   92.13,   91.53,   92.82,   91.87
