S265Swp
IMP=ohm,,MAVE=0
MEMO=20220829_102
DATE=2022/09/06 14:42:04
FREQ , SPL, Imp, Phs, 2nd, 3rd
   90.42, 69.830, 45.195, 25.600, 28.010, 21.820
   91.73, 70.000, 46.945, 29.000, 26.620, 21.600
   93.06, 70.210, 48.819, 31.600, 27.220, 22.610
   94.41, 70.440, 51.652, 35.400, 28.400, 21.670
   95.77, 70.540, 54.902, 39.000, 27.260, 22.390
   97.16, 70.620, 58.357, 42.800, 24.810, 22.200
   98.57, 70.600, 62.386, 46.400, 23.760, 22.070
  100.00, 70.470, 66.925, 50.200, 23.710, 20.140
  101.45, 70.090, 71.960, 54.200, 24.280, 20.600
  102.92, 69.310, 77.641, 57.600, 24.090, 17.850
  104.41, 68.440, 84.448, 54.000, 22.500, 20.130
  105.93, 68.450, 92.702, 47.200, 21.300, 22.950
  107.46, 69.980,105.825, 41.400, 21.760, 21.910
  109.02, 71.290,122.065, 41.400, 21.920, 21.140
  110.60, 71.510,134.150, 48.800, 19.810, 23.540
  112.20, 71.350,145.912, 54.000, 17.480, 18.190
  113.83, 71.470,159.437, 55.400, 21.470, 22.600
  115.48, 72.010,165.993, 54.200, 15.910, 24.610
  117.15, 71.980,162.776, 59.200, 22.490, 24.310
  118.85, 72.150,153.140, 60.600, 22.190, 23.310
  120.57, 72.370,138.385, 63.200, 16.620, 21.390
  122.32, 72.430,124.048, 66.200, 24.150, 18.400
  124.09, 72.620,110.431, 67.400, 26.110, 23.430
  125.89, 72.730, 99.218, 69.400, 26.390, 21.060
  127.72, 72.900, 89.452, 72.000, 25.880, 21.830
  129.57, 73.010, 81.300, 74.200, 25.490, 21.320
  131.45, 73.120, 74.746, 76.800, 23.200, 19.120
  133.35, 73.210, 68.880, 79.200, 19.680, 19.090
  135.29, 73.260, 63.182, 81.000, 23.750, 17.890
  137.25, 73.270, 58.761, 83.800, 23.680, 18.300
  139.24, 73.230, 54.839, 87.000, 24.990, 20.810
  141.25, 73.130, 52.070, 88.600, 24.210, 18.700
  143.30, 73.000, 49.727, 91.000, 23.920, 18.260
  145.38, 72.950, 47.162, 91.000, 24.430, 22.270
  147.49, 73.120, 44.884, 91.600, 25.780, 18.330
  149.62, 73.410, 42.864, 92.200, 25.470, 14.890
  151.79, 73.540, 41.076, 96.000, 25.120, 14.640
  153.99, 73.480, 39.590, 98.800, 25.640, 19.530
  156.22, 73.400, 38.114,101.000, 25.960, 20.860
  158.49, 73.310, 36.821,102.200, 23.190, 14.020
  160.79, 73.270, 35.776,102.800, 24.640, 19.300
  163.12, 73.380, 34.761,104.600, 25.300, 15.940
  165.48, 73.460, 33.775,107.000, 26.480, 16.720
  167.88, 73.280, 32.968,109.600, 26.530, 14.510
  170.31, 73.000, 32.292,111.200, 22.890, 14.720
  172.78, 72.760, 31.629,112.000, 22.300, 14.870
  175.29, 72.730, 30.909,111.000, 24.790, 16.260
  177.83, 72.980, 30.310,110.800, 24.010,  7.870
  180.41, 73.180, 29.791,112.800, 20.980, 15.970
  183.02, 73.200, 29.484,114.200, 22.470, 14.310
  185.67, 73.130, 29.180,116.800, 24.710, 13.280
  188.36, 73.080, 28.880,116.800, 17.280,  9.630
  191.10, 73.040, 28.516,117.400, 19.810, 14.740
  193.87, 73.130, 27.963,118.200, 25.390, 13.740
  196.68, 73.210, 27.421,120.000, 24.010, 15.500
  199.53, 73.230, 26.952,121.400, 22.810, 10.740
  202.42, 73.170, 26.582,122.400, 22.030, 11.770
  205.35, 73.160, 26.278,124.000, 22.930, 12.210
  208.33, 73.120, 25.947,125.000, 23.140, 15.920
  211.35, 73.120, 25.650,126.200, 23.360,  7.500
  214.41, 73.140, 25.386,126.600, 22.540, 13.800
  217.52, 73.180, 25.153,128.000, 23.910, 15.340
  220.67, 73.190, 24.922,130.000, 21.390, 12.080
  223.87, 73.190, 24.722,131.200, 17.680, 12.410
  227.12, 73.050, 24.524,132.400, 18.610, 14.260
  230.41, 72.880, 24.355,134.000, 22.010, 12.940
  233.75, 72.700, 24.187,134.200, 22.640, 11.010
  237.14, 72.640, 23.993,133.600, 21.450, 13.320
  240.57, 72.770, 23.856,134.200, 22.570, 12.540
  244.06, 72.850, 23.664,134.800, 19.790, 15.720
  247.60, 72.860, 23.501,136.200, 21.490, 11.210
  251.19, 72.830, 23.366,136.800, 20.610, 12.590
  254.83, 72.790, 23.205,137.800, 19.700, 11.540
  258.52, 72.760, 23.072,138.400, 19.420, 12.540
  262.27, 72.750, 22.966,139.400, 20.330, 12.540
  266.07, 72.770, 22.861,140.200, 21.270, 12.960
  269.93, 72.700, 22.730,140.800, 21.440, 14.390
  273.84, 72.690, 22.651,141.600, 19.320, 11.540
  277.81, 72.630, 22.521,142.200, 18.160, 13.970
  281.84, 72.650, 22.469,142.800, 20.030, 12.520
  285.92, 72.660, 22.392,143.600, 15.650, 13.680
  290.07, 72.660, 22.315,144.600, 19.100, 12.800
  294.27, 72.590, 22.212,145.200, 18.400, 12.100
  298.54, 72.500, 22.136,146.400, 19.390, 13.760
  302.87, 72.440, 22.034,147.000, 18.890, 12.140
  307.26, 72.350, 21.983,147.000, 18.310, 15.590
