S265Swp
IMP=ohm,,MAVE=27
MEMO=FE83NV_1M1W_NO.2
DATE=2022/01/12 09:38:25
FREQ , SPL, Imp, Phs, 2nd, 3rd
   19.95, 48.070,  7.238,, 28.690, 48.830
   20.24, 49.940,  7.271,, 28.570, 48.950
   20.54, 51.810,  7.279,, 28.440, 49.060
   20.83, 53.410,  7.288, 16.800, 29.070, 49.200
   21.13, 54.460,  7.296, 18.200, 30.900, 49.260
   21.44, 54.890,  7.304, 19.600, 33.040, 48.960
   21.75, 54.920,  7.313, 20.200, 34.360, 48.130
   22.07, 54.880,  7.313, 21.000, 34.770, 47.010
   22.39, 55.150,  7.321, 21.800, 34.800, 46.120
   22.71, 55.610,  7.330, 18.600, 34.550, 45.810
   23.04, 55.540,  7.338, 15.600, 33.430, 46.130
   23.37, 54.650,  7.347, 23.800, 31.250, 46.930
   23.71, 53.970,  7.355, 32.000, 29.230, 47.850
   24.06, 54.260,  7.364, 28.400, 28.690, 48.210
   24.41, 54.610,  7.372, 24.800, 29.740, 47.030
   24.76, 54.190,  7.381, 28.600, 31.750, 44.480
   25.12, 53.850,  7.389, 32.400, 34.130, 42.820
   25.48, 54.510,  7.398, 25.200, 36.180, 43.710
   25.85, 55.420,  7.406, 18.200, 36.950, 45.840
   26.23, 55.710,  7.415, 27.000, 36.010, 47.320
   26.61, 55.910,  7.415, 36.000, 34.130, 48.160
   26.99, 56.600,  7.423, 30.600, 32.880, 48.660
   27.38, 57.160,  7.432, 25.200, 33.710, 47.870
   27.78, 57.260,  7.449, 24.200, 36.410, 46.250
   28.18, 57.430,  7.457, 23.400, 39.250, 46.050
   28.59, 57.330,  7.466, 12.200, 41.410, 47.420
   29.01, 56.630,  7.475, 18.800, 42.400, 48.780
   29.43, 56.650,  7.483, 25.600, 40.750, 49.690
   29.85, 57.790,  7.500, 19.600, 37.810, 50.300
   30.29, 58.530,  7.509, 13.600, 37.540, 50.390
   30.73, 58.540,  7.518, 18.000, 39.910, 49.490
   31.17, 58.730,  7.526, 20.000, 42.110, 48.220
   31.62, 59.250,  7.535, 22.000, 43.650, 48.540
   32.08, 59.550,  7.552, 29.600, 45.320, 50.660
   32.55, 59.360,  7.561, 31.400, 46.120, 52.280
   33.02, 59.230,  7.570, 33.200, 43.420, 52.810
   33.50, 59.350,  7.587, 15.200, 38.720, 53.160
   33.98, 59.370,  7.596, 17.600, 37.440, 53.160
   34.47, 59.660,  7.605, 20.000, 40.050, 52.270
   34.97, 60.360,  7.622,  5.600, 42.750, 51.700
   35.48, 60.830,  7.640,  9.400, 44.000, 52.700
   36.00, 61.200,  7.649, 13.400, 44.160, 53.960
   36.52, 61.710,  7.658,  2.200, 42.980, 54.550
   37.05, 61.950,  7.684, 12.400, 40.800, 54.740
   37.58, 62.110,  7.702, 18.400, 39.430, 54.540
   38.13, 62.560,  7.711, 24.400, 39.930, 54.240
   38.68, 62.580,  7.720, 11.000, 41.730, 53.910
   39.24, 62.640,  7.737, 25.000, 43.570, 54.020
   39.81, 63.420,  7.764, 13.400, 44.570, 55.170
   40.39, 63.610,  7.782,  1.800, 44.950, 56.430
   40.97, 63.520,  7.791, 18.800, 44.900, 57.010
   41.57, 64.000,  7.800, 13.000, 43.590, 57.040
   42.17, 64.660,  7.827, 12.000, 42.380, 56.730
   42.78, 65.240,  7.845, 14.200, 43.580, 56.500
   43.40, 65.660,  7.872, 14.400, 45.760, 56.530
   44.03, 66.140,  7.890, 13.400, 46.960, 56.980
   44.67, 66.760,  7.918, 12.600, 47.240, 57.990
   45.32, 67.330,  7.936,  4.800, 47.000, 58.840
   45.97, 67.840,  7.963,  8.600, 46.100, 58.860
   46.64, 68.280,  7.982,  5.600, 45.480, 58.370
   47.32, 68.830,  8.000, 11.200, 46.800, 58.150
   48.00, 69.340,  8.000,  9.400, 48.920, 58.360
   48.70, 69.670,  8.018, 11.600, 50.210, 58.790
   49.40, 70.110,  8.037, 19.000, 50.680, 59.500
   50.12, 70.580,  8.065, 13.800, 50.630, 60.390
   50.85, 70.970,  8.093, 19.600, 50.330, 60.800
   51.58, 71.360,  8.121, 16.600, 49.580, 60.510
   52.33, 71.790,  8.149, 21.600, 49.160, 60.040
   53.09, 72.130,  8.177, 20.000, 50.360, 59.930
   53.86, 72.520,  8.215, 24.200, 52.010, 59.940
   54.64, 72.990,  8.243, 22.800, 52.850, 59.970
   55.43, 73.330,  8.272, 23.000, 53.100, 60.410
   56.23, 73.640,  8.310, 27.000, 53.010, 61.230
   57.05, 73.990,  8.348, 30.600, 52.840, 61.520
   57.88, 74.330,  8.396, 34.400, 52.560, 60.960
   58.72, 74.640,  8.445, 37.000, 52.610, 60.420
   59.57, 74.890,  8.484, 40.200, 53.710, 60.410
   60.43, 75.070,  8.523, 44.600, 55.040, 60.510
   61.31, 75.120,  8.562, 51.600, 55.770, 60.680
   62.19, 74.960,  8.612, 55.200, 56.020, 61.310
   63.10, 74.620,  8.661,-119.600, 55.880, 62.040
   64.01, 74.090,  8.711,154.800, 55.710, 61.930
   64.94, 73.300,  8.762,-110.800, 55.510, 61.250
   65.88, 72.370,  8.822,-112.800, 55.530, 60.880
   66.83, 71.680,  8.873,-112.400, 56.410, 60.810
   67.80, 71.530,  8.935, 65.200, 57.440, 60.620
   68.79, 71.810,  8.997, 65.400, 57.850, 60.480
   69.78, 72.430,  9.070, 56.000, 57.690, 60.900
   70.79, 73.260,  9.133, 41.400, 57.440, 61.430
   71.82, 73.780,  9.217,-35.200, 57.540, 61.170
   72.86, 73.650,  9.302, 56.000, 57.730, 60.600
   73.92, 73.380,  9.388,-28.200, 58.120, 60.420
   74.99, 73.600,  9.486, 45.000, 59.160, 60.370
   76.08, 74.150,  9.574, 40.800, 60.190, 60.220
   77.18, 74.310,  9.685, 37.400, 60.530, 60.320
   78.30, 74.190,  9.786, 45.000, 60.330, 60.880
   79.43, 74.440,  9.910, 36.600, 60.130, 61.120
   80.58, 74.720, 10.048, 28.200, 60.180, 60.690
   81.75, 74.870, 10.176,-35.800, 60.310, 60.360
   82.94, 75.210, 10.318,-117.000, 60.760, 60.320
   84.14, 75.530, 10.473,-115.400, 61.640, 60.220
   85.36, 75.890, 10.631,-43.800, 62.240, 59.980
   86.60, 76.260, 10.792, 33.400, 62.030, 59.950
   87.85, 76.550, 10.992,-120.200, 61.520, 60.230
   89.13, 76.820, 11.210,-118.000, 61.430, 60.190
   90.42, 77.080, 11.431,-119.000, 61.650, 59.660
   91.73, 77.430, 11.630,-114.600, 61.880, 59.270
   93.06, 77.810, 11.846,-119.000, 62.450, 58.960
   94.41, 78.110, 12.108,-116.000, 63.320, 58.480
   95.77, 78.460, 12.405,-113.000, 63.730, 57.920
   97.16, 78.770, 12.723,-115.600, 63.380, 57.620
   98.57, 78.930, 13.064,-35.000, 62.970, 57.660
  100.00, 79.100, 13.415,-33.400, 62.900, 57.440
  101.45, 79.290, 13.807,-111.000, 62.880, 56.850
  102.92, 79.440, 14.210,-111.400, 62.860, 56.430
  104.41, 79.620, 14.642,-111.200, 63.280, 56.220
  105.93, 79.880, 15.139,-113.000, 63.990, 56.030
  107.46, 80.210, 15.725,-113.000, 63.990, 55.780
  109.02, 80.480, 16.353,-111.800, 63.480, 55.570
  110.60, 80.670, 16.947,-110.000, 63.310, 55.540
  112.20, 80.810, 17.583,-109.600, 63.390, 55.240
  113.83, 80.980, 18.327,-107.000, 63.390, 54.640
  115.48, 81.170, 19.124,-106.600, 63.360, 54.240
  117.15, 81.420, 19.934,-97.400, 63.770, 54.020
  118.85, 81.690, 20.777,-105.200, 64.450, 53.770
  120.57, 81.920, 21.707,-104.800, 64.470, 53.350
  122.32, 82.090, 22.625,-103.000, 64.190, 52.970
  124.09, 82.250, 23.528,-101.800, 64.210, 52.780
  125.89, 82.440, 24.383,-101.600, 64.240, 52.470
  127.72, 82.620, 25.182,-102.400, 64.130, 52.170
  129.57, 82.760, 25.858,-100.000, 64.090, 52.140
  131.45, 82.890, 26.369,-99.000, 64.460, 52.200
  133.35, 83.020, 26.766,-98.000, 64.800, 52.260
  135.29, 83.140, 26.952,-97.800, 64.510, 52.320
  137.25, 83.290, 26.890,-97.600, 64.090, 52.470
  139.24, 83.470, 26.643,-97.800, 63.850, 52.770
  141.25, 83.650, 26.278,-97.800, 63.570, 52.950
  143.30, 83.850, 25.739,-95.400, 63.200, 52.910
  145.38, 84.090, 25.037,-94.400, 62.930, 52.780
  147.49, 84.350, 24.243,-93.800, 63.010, 52.670
  149.62, 84.560, 23.420,-91.600, 63.060, 52.770
  151.79, 84.720, 22.599,-89.600, 62.680, 52.980
  153.99, 84.860, 21.732,-88.600, 62.360, 53.180
  156.22, 84.970, 20.849,-85.800, 62.270, 53.430
  158.49, 85.050, 20.003,-84.200, 62.180, 53.560
  160.79, 85.060, 19.257,-82.400, 62.020, 53.400
  163.12, 85.050, 18.582,-80.200, 61.850, 53.120
  165.48, 85.040, 17.889,-79.800, 61.840, 52.870
  167.88, 85.060, 17.262,-79.600, 61.800, 52.730
  170.31, 85.140, 16.695,-78.800, 61.540, 52.650
  172.78, 85.300, 16.166,-79.000, 61.310, 52.460
  175.29, 85.510, 15.653,-78.400, 61.160, 52.290
  177.83, 85.730, 15.156,-77.200, 60.950, 52.360
  180.41, 85.930, 14.692,-75.200, 60.650, 52.530
  183.02, 86.050, 14.275,-73.400, 60.310, 52.440
  185.67, 86.120, 13.902,-72.000, 60.080, 51.980
  188.36, 86.200, 13.524,-70.000, 59.950, 51.400
  191.10, 86.280, 13.170,-68.600, 59.670, 50.950
  193.87, 86.290, 12.856,-66.400, 59.390, 50.600
  196.68, 86.250, 12.548,-65.400, 59.240, 50.470
  199.53, 86.200, 12.277,-64.000, 59.160, 50.690
  202.42, 86.180, 12.011,-63.800, 59.080, 51.180
  205.35, 86.200, 11.765,-63.000, 58.910, 51.660
  208.33, 86.240, 11.537,-62.800, 58.830, 51.980
  211.35, 86.290, 11.326,-61.200, 58.780, 52.090
  214.41, 86.320, 11.107,-60.400, 58.470, 51.910
  217.52, 86.360, 10.904,-59.600, 57.990, 51.480
  220.67, 86.410, 10.705,-59.000, 57.610, 50.940
  223.87, 86.490, 10.534,-58.400, 57.390, 50.170
  227.12, 86.580, 10.365,-57.800, 57.230, 49.290
  230.41, 86.680, 10.212,-57.200, 57.060, 48.650
  233.75, 86.810, 10.071,-56.600, 56.970, 48.200
  237.14, 86.940,  9.922,-55.600, 56.870, 47.600
  240.57, 87.080,  9.786,-54.400, 56.510, 46.750
  244.06, 87.190,  9.663,-53.200, 55.990, 45.970
  247.60, 87.280,  9.541,-51.400, 55.490, 45.710
  251.19, 87.350,  9.432,-49.400, 55.070, 45.810
  254.83, 87.390,  9.324,-48.000, 54.710, 45.770
  258.52, 87.420,  9.228,-46.600, 54.290, 45.440
  262.27, 87.430,  9.133,-45.400, 53.920, 44.900
  266.07, 87.410,  9.038,-43.600, 53.770, 44.490
  269.93, 87.360,  8.945,-41.600, 53.710, 44.320
  273.84, 87.290,  8.863,-40.400, 53.500, 44.080
  277.81, 87.180,  8.792,-39.000, 52.960, 43.680
  281.84, 87.050,  8.721,-37.800, 52.250, 43.010
  285.92, 86.910,  8.651,-36.600, 51.620, 41.700
  290.07, 86.750,  8.582,-36.400, 51.040, 39.780
  294.27, 86.590,  8.523,-35.600, 50.540, 37.080
  298.54, 86.480,  8.464,-35.800, 50.400, 35.190
  302.87, 86.480,  8.406,-37.400, 50.530, 36.900
  307.26, 86.590,  8.358,-37.600, 50.690, 39.980
  311.71, 86.760,  8.310,-37.600, 50.760, 40.680
  316.23, 86.900,  8.262,-36.200, 50.650, 39.650
  320.81, 86.910,  8.215,-34.200, 50.200, 38.420
  325.46, 86.810,  8.168,-33.000, 49.540, 37.460
  330.18, 86.710,  8.130,-32.600, 49.150, 36.840
  334.97, 86.670,  8.093,-33.200, 49.030, 36.550
  339.82, 86.720,  8.055,-32.800, 48.760, 36.420
  344.75, 86.810,  8.018,-32.800, 48.430, 36.310
  349.74, 86.900,  8.000,-31.200, 48.170, 36.300
  354.81, 86.920,  8.000,-29.800, 47.690, 36.110
  359.96, 86.830,  7.982,-28.600, 46.940, 35.220
  365.17, 86.660,  7.954,-27.600, 46.190, 33.710
  370.47, 86.470,  7.927,-27.600, 45.900, 32.330
  375.84, 86.380,  7.899,-29.000, 46.060, 31.550
  381.29, 86.400,  7.872,-29.600, 46.190, 30.670
  386.81, 86.480,  7.854,-29.800, 46.110, 29.720
  392.42, 86.620,  7.836,-30.400, 45.770, 29.330
  398.11, 86.800,  7.809,-30.000, 45.440, 29.720
  403.88, 86.940,  7.791,-27.800, 45.430, 30.050
  409.73, 86.980,  7.773,-27.200, 45.410, 29.010
  415.67, 86.970,  7.755,-26.400, 45.310, 28.760
  421.70, 86.930,  7.746,-24.400, 45.180, 31.890
  427.81, 86.830,  7.728,-23.400, 44.660, 35.100
  434.01, 86.720,  7.711,-23.600, 43.900, 34.950
  440.30, 86.690,  7.702,-23.600, 43.210, 33.700
  446.68, 86.780,  7.684,-24.600, 42.430, 33.280
  453.16, 86.950,  7.675,-24.400, 41.870, 32.960
  459.73, 87.090,  7.666,-22.800, 42.020, 31.530
  466.39, 87.140,  7.658,-21.400, 42.400, 29.070
  473.15, 87.080,  7.649,-19.400, 42.070, 29.280
  480.01, 86.950,  7.640,-17.600, 41.040, 32.440
  486.97, 86.750,  7.631,-17.200, 40.060, 34.250
  494.03, 86.560,  7.622,-17.200, 39.560, 35.010
  501.19, 86.510,  7.622,-17.200, 39.350, 36.120
  508.45, 86.490,  7.614,-17.000, 39.130, 36.690
