S265Swp
IMP=ohm,,MAVE=27
MEMO=FE83NV_1M1W_NO.3
DATE=2022/01/12 09:39:46
FREQ , SPL, Imp, Phs, 2nd, 3rd
   19.95, 51.310,  7.279,, 30.260, 49.720
   20.24, 52.540,  7.313,, 31.410, 49.810
   20.54, 53.770,  7.321,, 32.560, 49.900
   20.83, 54.790,  7.330, 15.000, 32.990, 50.050
   21.13, 55.250,  7.338, 17.400, 31.920, 50.180
   21.44, 54.850,  7.347, 20.000, 29.350, 49.960
   21.75, 53.690,  7.355, 23.200, 26.130, 49.150
   22.07, 52.480,  7.355, 26.400, 23.820, 48.010
   22.39, 52.200,  7.364, 29.600, 24.060, 47.010
   22.71, 53.090,  7.372, 14.800, 26.700, 46.580
   23.04, 54.170,  7.381,  0.000, 28.970, 46.830
   23.37, 54.580,  7.389,  4.000, 28.620, 47.630
   23.71, 54.690,  7.398,  8.000, 26.930, 48.550
   24.06, 55.120,  7.406, 11.000, 26.340, 48.850
   24.41, 55.550,  7.415, 14.200, 27.700, 47.650
   24.76, 55.570,  7.423, 16.800, 30.510, 45.210
   25.12, 55.470,  7.423, 19.400, 33.790, 43.730
   25.48, 55.600,  7.432, 18.200, 36.300, 44.730
   25.85, 55.640,  7.440, 17.200, 36.790, 46.870
   26.23, 55.320,  7.449, 19.200, 35.120, 48.330
   26.61, 55.160,  7.457, 21.400, 33.070, 49.160
   26.99, 55.790,  7.466, 18.000, 32.780, 49.670
   27.38, 57.090,  7.475, 14.800, 34.870, 48.850
   27.78, 58.300,  7.492, 12.200, 37.850, 47.180
   28.18, 58.830,  7.500,  9.800, 39.780, 47.000
   28.59, 58.970,  7.509, 18.200, 40.830, 48.400
   29.01, 58.960,  7.518, 21.600, 41.340, 49.750
   29.43, 58.170,  7.526, 25.200, 39.550, 50.620
   29.85, 57.190,  7.544, 28.400, 36.140, 51.270
   30.29, 57.600,  7.552, 31.600, 35.080, 51.380
   30.73, 58.810,  7.561, 22.000, 36.990, 50.450
   31.17, 59.270,  7.570, 23.600, 39.630, 49.120
   31.62, 59.470,  7.587, 25.200, 42.260, 49.430
   32.08, 59.870,  7.605, 21.400, 44.950, 51.570
   32.55, 59.890,  7.614, 25.200, 46.330, 53.230
